Company,Job Title,Website,State,Department Spend,Industry Sector,Key Products or Services,Employee Count,Annual Sales,Locations,IT Department Size,IT Security Team Size,Contact Center Seats,Operating System,Current ERP,Cloud Service Provider,Cybersecurity Responsibility,Cyber Initiatives,cyber,Cloud Solutions Responsibility,Cloud Initiatives,cloud,Digital Responsibility,Digital Initiatives,digital,Data Management Responsibility,Data Management Initiatives,data,Software / Application Development Responsibility,Development Initiatives,software,Communication Systems Responsibility,Communication Initiatives,communication,Network Systems Responsibility,Network Initiatives,network,Consulting / Outsourcing Responsibility,Consulting Initiatives,consulting,"IT Leadership, Talent Management and Training Responsibility",Leadership Initiatives,IT,Cybersecurity Solutions,Which Cloud Solutions,Digital Solutions,Data Management Solutions,Software / Application Development Solutions,Communication Systems Solutions,Network Systems Solutions,Consulting / Outsourcing Solutions,"IT Leadership, Talent Management and Training Solutions",Data Date,cyber_total_kcount,ucaas_ccaas_total_kcount,mobility_total_kcount,data_center_total_kcount,cloud_total_kcount
Visit California,Director Of Information Technology,www.visitcalifornia.com,CA,,Media & Internet,We are the marketing firm for tourism for the state of California.,100-250,$100M-$250M,1 but we help 15 international offices,6,2,3,Mac OS,Financial Force,Azure,Yes,Yes,"backups, disaster recovery.
 moving everything to cloud- looking for security around cloud
 currently no backup recovery",Yes,Yes,"picking the right vendor, and creating a whole new domain in parallel to our current one.
 concluding planning- locking in vendors",No,No,no,Yes,Yes,"we are building a data lake, and need more help.",No,No,no,Yes,Yes,"looking for a new mdm
 currently looking to replace our current providers",Yes,Yes,looking at building a new intranet site.,No,No,no,Yes,Yes,"staff education
 - cybersecurity training, azure training","API Secutiry,Cloud Security,Critical Event ManagementData Loss ProtectionDisaster / Backup Recovery,Email Security,Identity & Access Management,Network Security - Monitoring & forensics,Ransomware","Backup/Disaster Recovery,Business IntelligenceStorage,Virtual Machines,Virtualization",",","Backup/Disaster Recovery,BI Dashboard & Reporting,Data Cleansing,Data Governance & MDMData Quality,Data Visualization,Data Warehousing,",",",",BYOD Employee Cell Device Management","Company Intranet,",",",",IT Asset Management,IT Certificates",Fall 22,6,0,1,5,4
ESDC,VP of IT,www.ESD.ny.gov,NY,,Finance,Financial Services,"500-1,000",$3B-$5B,13,30,5,7,Windows 10,Dynamics,AWS,Yes,Yes,"ransomware, security incident response
 -always a moving a target and try to secure ourselves as much as possible. we have layers of protection and looking to continue to expand",Yes,No,no,Yes,No,no,Yes,Yes,bdr has been a challenge. looking for cloud solution to not depend on physical location for back up,Yes,No,no,Yes,Yes,"enterprise mobility management
 -planning on moving physical locations and having a hybrid situation. want to be able to be assigned a specific location when coming to the office. looking to computerize this.
 -video conferencing- wiring appropriately for new building",Yes,No,no,Yes,No,no,No,No,no,"Application Security - Vulnerability Assessment,Cloud Security,Critical Event ManagementData Loss Protection,Data Center Security,Data SecurityDisaster / Backup RecoveryEmployee monitoring & Insider Threat DetectionEndpoint detection & response (EDR)Endpoint prevention,Fraud Prevention / Transaction Security,Identity & Access Management,Multi-factor authentication,ZerotrustMobile SecurityNetwork Security - Intrusion Prevention Systems,Network Security - Monitoring & forensics,Network Security - Unified Threat Management,Privileged Access Management,RansomwareSecurity Incident Response,Third Party Cyber Risk Management,",",",",",Backup/Disaster RecoveryData CleansingData Visualization,",","Enterprise Mobility Management,Video Conferencing",",",",",0,Fall 22,3,0,0,1,4
WESCO,Director of IT,www.wesco.com,PA,,Transportation,Industrial Distributor,"10,000+",$5B+,100,500,25,100,Linux,"Oracle, SAP, Microsoft,",Azure,No,No,no,Yes,Yes,erp & bi cloud solutions,Yes,Yes,"cloud erp,
 iot
 rpa solutions",Yes,Yes,"bi dashboards
 consolidate data from multiple erp's",Yes,Yes,"automated testing(data validation)
 alm
 iot",No,No,no,No,No,no,Yes,Yes,no,QA Mainframe APp development,no,no,0,",Business IntelligenceDocument Management Systems,ERPIoT,","Artificial Intelligence & Machine Learning,Digital Transformation,Robotic Process Automation (RPA),","Big Data & Analytics,Business Intelligence,Data CleansingData Integration & Access,Data Quality,Data Visualization",",Application Lifecycle Management,Automation Testing Software,CloudIoT",",",",","Software / Application Development,Staffing / Recruiting",0,Fall 22,0,0,2,5,4
M&T Bank,Vice President,www.mtb.com,NY,,Finance,"Financial services: Online banking, mobile banking, commercial banking","10,000+",$5B+,400,1800,80,300,"Windows, RHEL",Microsoft,Azure,Yes,Yes,"m&t is a rather large financial institution in the northeast, we are currently undergoing a cloud migration journey from our two large datacenters. we have also are in the middle of an acquisition of another bank.",Yes,Yes,"currently have a single cloud solution, but may expand in the future.",No,No,no,No,No,no,No,No,no,No,No,no,No,No,no,No,No,no,No,no,no,",Application Security and WAF,API Secutiry,Cloud Security,Data Loss Protection,Data Center Security,Data Security,DevOps SecurityEmail Security,Employee monitoring & Insider Threat Detection,Encryption,Endpoint detection & response (EDR),Extended Detection and Response (XDR),Endpoint prevention,Fraud Prevention / Transaction Security,Identity & Access Management,Multi-factor authentication,Zerotrust,Industrial / IoT Security,Managed Security Service Provider,Mobile App Security,Mobile SecurityPenetration Testing and Simulation,Phishing,Physical Security - Surveillance and Access Control,Privileged Access Management,Ransomware,Risk & Compliance,Security Incident Response,Security Operations Center - SOC as a ServiceSIEM,SOAR - Security Orchestration Automation and ResponseThreat Intelligence,User behavior monitoring,Web Security","Cloud Migration Services,Co-location",",",0,",",",",",",",",0,Fall 22,0,0,0,2,4
WyreStorm Technologies ProAV Corp,COO,www.wyrestorm.com,NY,,Manufacturing,WyreStorm Offers products ranging from Simple HDMI cables to high end AV over IP. WyreStorm also supplies UC related products.,100-250,$0-$50M,4,5,2,1,Windows 10 and 11,TPX,Other,Yes,Yes,"looing to expand out current systems to be more effective
 need something better on the email. need something to be 'smarter than our employees'.",Yes,Yes,would like to speak to companies like aws about virtual storage.,Yes,No,no,Yes,Yes,need to look into manager storage of off site storage.,Yes,No,no,Yes,No,no,Yes,No,no,Yes,Yes,we are looking to complete a lot of integration and new software projects. we will need contract staffing to complete this.,Yes,Yes,i am always looking into different way to help the leadership and employees grow.,",Email Security,Endpoint prevention,Phishing,Ransomware","Backup/Disaster Recovery,Storage",",",Server Storage,",",",",",","APIs,Application ModernizationStaffing / Recruiting",IT CertificatesLeadership coachingStaffing - Staff Retention,Fall 22,0,0,1,2,4
MMIT,VP of IT,www.mmitnetwork.com,PA,,Healthcare,BioTech & Pharmaceutical,"1,000-5,000",$250M-$500M,6,15,5,30,Windows,No,Azure,Yes,Yes,"endpoint, devops security
 -need multi-layered security. our needs are everywhere and have multiple projects going on.",Yes,Yes,"bdr, help desk
 not happy with what we are using. help desk is migrating to cloud. consolidate and get everyone on the same platform.",Yes,No,no,Yes,Yes,"bdr, business intelligence",No,No,no,Yes,No,no,Yes,Yes,sd-wan,Yes,Yes,"bi, cloud",No,No,no,"Application Security - Vulnerability AssessmentData Loss ProtectionData Security,DevOps Security,Disaster / Backup RecoveryEndpoint detection & response (EDR),Extended Detection and Response (XDR),Identity & Access Management,Privileged Access ManagementSIEM,SOAR - Security Orchestration Automation and Response","Backup/Disaster Recovery,Help DeskIT Service Management (ITSM)",",","Backup/Disaster Recovery,BI Dashboard & ReportingBusiness Intelligence,Data Integration & AccessEncryption",",",",","SD-WAN,","Business IntelliganceCloud Enablement,Cloud Workload and Migration,Cybersecurity Services,",0,Fall 22,5,0,0,3,4
The Sun Valley Group,IT Director,tsvg.com,CA,,Agriculture,"We deliver the best fresh cut flowers in the US. Everything from tulips to lilies, iris to hydrangea, we provide unmatched quality that delights and amazes.","500-1,000",$100M-$250M,2,6,2,0,Windows 10,Microsoft Dynamics,Azure,Yes,Yes,"we're looking at three different facets of cyber security. we want to implement a more robust multi-factor authentication solution, improve our security for our mobile devices, and looking into leveraging a siem for our environment.",Yes,Yes,"we would greatly benefit from implementing a cloud-based disaster recovery solution. we have backups already, but those take time to restore. we also have interest in some level of business intelligence. we do capture a lot of data and would love to turn that into meaningful information. additionally, i've talked with several team members regarding document storage solutions that would greatly help with access to information that is currently only kept in physical file cabinets.",Yes,No,no,Yes,Yes,we're good at collecting data. it would be great to turn this data into meaningful dashboard information for quick reporting. this would allow our management team to get a better feel for how our metrics are performing.,Yes,Yes,we have a program to capture some of our warehouse inventory information that would greatly benefit being ported to a mobile solution. the current hardware that is supported is antiquated and is end of life. moving this to mobile would revolutionize the process and greatly extend flexibility.,Yes,No,no,Yes,No,no,Yes,Yes,there are several development projects that can be offloaded to 3rd parties while we maintain software development of our main software in-house.,Yes,Yes,"i believe in training my people to be better than they were yesterday. as such, we look for opportunities to enhance our skill sets so we can raise the bar on what we can accomplish.",",Multi-factor authentication,Mobile Security,SIEM,","Backup/Disaster Recovery,Business IntelligenceDocument Management Systems",",",",BI Dashboard & Reporting,","Mobile,Outsourced Software / Application Development",",",",","Software / Application Development,",",IT Training Software for staff : Cybersecurity,IT Training Software for staff : Software,IT Training Software for staff : IT Operations,",Fall 22,6,0,0,3,4
Blankfein Scholes Capital Management,CISO,www.cataliocapital.com,NY,,Finance,Investment management services to institutional clients. We manage proprietary trading and private equity funds.,"1,000-5,000",$3B-$5B,10,150,12,0,Windows and Linux,No,"Azure,AWS",Yes,Yes,"iam and pam, cloud security, security monitoring and incident response.",Yes,Yes,securing and testing backups/dr,No,No,no,No,No,no,No,No,no,No,No,no,No,No,no,Yes,Yes,"staff augmentation, vulnerability assessments",Yes,Yes,contract staffing,"Application Security - Vulnerability Assessment,Application Security and WAFCloud Security,Data Loss ProtectionEndpoint detection & response (EDR),Extended Detection and Response (XDR),Endpoint preventionIdentity & Access Management,Multi-factor authentication,Managed Security Service Provider,Network Security - Firewall,Network Security - Intrusion Prevention SystemsNetwork Security - Unified Threat Management,Privileged Access ManagementSecurity Operations Center - SOC as a ServiceSIEM,Threat Intelligence","Backup/Disaster Recovery,",",",0,",",",",",","Cybersecurity Services,Staffing / Recruiting,Technology Lifecycle Management,",",IT Training Software for staff : CybersecurityStaffing - Outsourced staffing - Project based,",Fall 22,5,0,0,1,2
Vitamix Corporation,"Manager, Cybersecurity",vitamix.com,OH,,Manufacturing,Commercial and household Blending solutions,"500-1,000",$250M-$500M,4,40,4,75,Windows,Oracle,AWS,Yes,Yes,"email security, disaster recovery, cloud security, ips",No,No,no,No,No,no,No,No,no,No,No,no,No,No,no,No,No,no,No,No,no,No,No,no,",Cloud SecuritySecurity Awareness Computer-Based Training for end-users,Disaster / Backup Recovery,Email Security,Employee monitoring & Insider Threat DetectionIdentity & Access Management,Multi-factor authentication,Mobile SecurityNetwork Security - Intrusion Prevention Systems,Network Security - Monitoring & forensics,Penetration Testing and Simulation,Phishing,Ransomware,SIEM,Threat Intelligence",",",",",0,",",",",",",",",0,Fall 22,3,0,0,2,2
Nittany Oil Company,Director of Cybersecurity & IT,nittanyenergy.com,PA,,"Energy, Utilities & Waste Treatment",Commercial and residential fuels . Gas stations with food service .,250-500,$100M-$250M,35,4,1,0,Windows and mac,Sage,Hybrid,Yes,Yes,"zero trust and segmentation, resilient backups, optimum uptime",Yes,No,backup and restoration to cloud from on peek environment,Yes,No,none,Yes,Yes,backup and retention,No,No,no,Yes,Yes,managing mobile phones,Yes,No,find causes for sluggishness and downtime,Yes,No,none,Yes,Yes,inventory management and training it personnel,"Application Security - Vulnerability AssessmentCritical Event Management,Security Awareness Computer-Based Training for end-users,Data Loss Protection,Data Center Security,Data SecurityDisaster / Backup Recovery,Email Security,Employee monitoring & Insider Threat Detection,Encryption,Endpoint preventionIdentity & Access ManagementZerotrustManaged Security Service ProviderMobile SecurityNetwork Security - Intrusion Prevention Systems,Network Security - Monitoring & forensics,Network Security - Unified Threat Management,Phishing,Ransomware,Risk & Compliance,Security Incident Response,Security Operations Center - SOC as a Service,Security Rating / BenchmarkingSOAR - Security Orchestration Automation and ResponseThreat Intelligence,User behavior monitoring,Web Security","Backup/Disaster RecoveryERP,Help Desk,Managed File Transfer,Storage,Virtual Machines,Virtualization","Digital Security,",Backup/Disaster RecoveryEncryptionNetwork and application performance monitoringServer Storage,",","Business SMS and MMS,BYOD Employee Cell Device Management,Cloud based phone systems (VOIP)Enterprise Mobility Management,Hosted PBX,Unified Communications,Video Conferencing",",Network ConnectivitySwitching","Cybersecurity Services,",",IT Asset ManagementIT Training Software for staff : IT Operations,",Fall 22,4,0,0,2,2
Crystal Mountain Enterprises,Director of Information Technology,www.crystalmountain.com,MI,,Hospitality,"Lodging
 Food & Beverage
 Recreation Activities
 Ski Operations","500-1,000",$50M-$100M,1,4,0,No,No,No,No,Yes,Yes,"we have a number end user workstations that our property management system requires local administrator access and we are looking for a solution that will only elevate the application not the entire machine, so that i can remove the local administrator access.",Yes,No,we are not expanding,Yes,No,we are not expanding,Yes,No,we are not expanding,No,No,no,Yes,No,we are not expanding,Yes,No,we are not expanding,Yes,No,no,We are not expanding,yes,we are not expanding,"Endpoint detection & response (EDR),Extended Detection and Response (XDR),Zerotrust,Mobile App SecurityRisk & Compliance,",",",",",0,",",",",",",",",IT Advisory / Analyst Support,Fall 22,0,0,1,0,0
