Company,Job Title,Website,State,Department Spend,Industry Sector,Key Products or Services,Employee Count,Annual Sales,Locations,IT Department Size,IT Security Team Size,Contact Center Seats,Operating System,Current ERP,Cloud Service Provider,cyber,cloud,digital,data,software,communication,network,consulting,IT,Data Date,cyber_total_kcount,ucaas_ccaas_total_kcount,mobility_total_kcount,data_center_total_kcount,cloud_total_kcount,vendors_total_kcount
University of Detroit Mercy,Senior Systems Administrator,udmercy.edu,"MI
",1200000,"Education
","We provide educational opportunities in Business, CIS, Nursing, Dental and Engineering programs.  We also offer Master and PHD programs.","500-1000 employees
","$50M-$100M
",3,11,1,3,Basically all of them,CDWG,"Hybrid
","we are getting ready to deploy a hybrid citrix cloud, in which netscalar and storefront will be in the cloud and x-ray imaging and patient management will be served on premise.

we are also in the early phases of setting up a disaster recovery site.  due to cost, we may need this site to be at another of our campuses as opposed to a vendors data center.",configuring netscalar and hybrid cloud.,no,we primarily use nimble and 3par as our storage platforms; we would be open to discussions in regards to performance tuning and hybrid cloud.,no,no,no,no,no,Summer 22,1,1,0,3,7,1
University of Georgia,Director of Web and Mobile Technology,uga.edu,"GA
",1000000,"Education
","University degrees at the Bachelors, Masters, Doctoral levels","10,000+ employees","$500M-$1B
",5,500,15,12,"Windows, Linux, Mac",Oracle,"AWS
",no,"looking for cloud-based etl solutions, particularly those that offer db interaction, file transfer, and file manipulation.  ideal solution would include a hosted web service endpoint that can receive xml messages.

also interested in hosted wordpress service offerings that include patching and plugin management, particularly those that use a decoupled approach between crm and web content",no,no,looking for low-code or no-code solutions to build etl processes to integrate between authoritative data sources.,no,no,no,no,Summer 22,1,0,0,1,4,1
Utility Trailer Mfg. Co.,Sr. Technical Computing Manager ,utilitytrailer.com,"CA
",1000000,"Manufacturing / Natural Resources
","The Worlds Leading Producer of Strong, Light Weight Trailers. We are an innovative manufacturer of dry freight vans, refrigerated vans and flatbeds. We remain the largest producer of refrigerated vans and one of the largest trailer manufacturer in the United States.","1000-5000 employees
","$1B-$5B
",7,25,4,25,Windows 10,Microsoft,"Azure
",repeated ransomware attacks and how to respond to multiple attackers without shutting down all systems every time you suspect someone trying to attack our systems.,cloud migration and security,secure digital assets from ransomware,backup and recovery in a few hours.,no,no,develop company intranet for an air-gapped network.,use 3rd party vendors to complement current staff.,no,Summer 22,5,0,1,3,3,0
"VIQ Solutions, Inc",Chief Information Officer,viqsolutions.com,"AZ
",<US$1M,"High Tech
","VIQ Solutions combines artificial intelligence (AI)-driven voice and video capture technology and services to securely manage digital content in the most rigid security environments including legal, criminal justice, insurance, government, corporate finance, and media.

VIQ helps its clients securely speed the capture, creation, and management of large volumes of information, preserve the unique value of the spoken word and video image, and deliver meaningful data they can use.","250-500 employees
","Less than $50M
",2,<10,1,0,Desktop: Windows with pockets of Mac users. Services are mostly hosted in Azure and AWS clouds.,NetSuite,"Hybrid
",no,no,no,no,no,no,no,no,no,Summer 22,0,0,0,0,0,0
Verizon,Sr. Technology Executive,verizon.com,"NY
",9 figures,"High Tech
","We are a global telecom leader and a Fortune 15 company providing a variety of Wireline and Wireless solutions and IOT, Telematics, Cybersecurity etc. across all customer segments.","10,000+ employees",$5B+,100+,NO,NO,NO,NO,NO,"AWS
","looking for comprehensive siem, soar, edr, xdr/mdr solutions as well as security solutions supporting devsecops and cloud/container security etc.",looking for cloud migration and cloud-native solutions with e2e ability to manage our hybrid cloud environments proactively.,looking for intelligent automation solutions to power a variety of use cases,"looking for comprehensive data management solutions that help with data quality, governance and data pipeline management for analytics and ml/ai workloads",looking for comprehensive solutions in the software development space that support server and web development for omnichannel customer experiences.,no,"looking for advanced communications services for our consumption, as well as to partner and co-create solutions for our external customers.",we always need highly skilled consultants that augment our staff to deliver innovative products and services for our customers,looking for comprehensive training for our talented it teams on a range of pertinent topics.,Summer 22,9,3,0,5,9,1
Versa Networks,Sr. Global Partner Director,versa-networks.com,"CA
",10000000,"High Tech
","Network security software solutions that included:
Advance Routing
SDWAN
ZTNA
Secure Web Gateway
Cloud Access Security Broker (CASB)
Remote Browser Isolation (RBI)
Next Generation Firewalls
","500-1000 employees
","$50M-$100M
",75,100,150,NO,NO,NO,"AWS
",no,no,no,no,no,no,no,no,no,Summer 22,0,0,0,0,0,0
Viemed,CIO,viemed.com,"LA
",2500000,"Healthcare / Hospital
",Respiratory treatment and equipment.,"500-1000 employees
","$100M-$250M
",18 locations and over 1000 computer assets. ,13,3,NO,MAC OS,"MS 365, Azure AD. ","Azure
",no,no,no,no,no,no,no,no,no,Summer 22,0,0,0,0,0,0
Visit California,Director Of Information Technology,visitcalifornia.com,"CA
",3 million,"Media / Marketing / Advertising
",Marketing tourism to the state of California.,"100-250 employees
","$100M-$250M
",1,6,1,5,Mac OS,Financial Force,"Azure
",mobile security for our byod and disaster recovery.,"we use azure, aws (route 53), and gcp, but are looking to consolidate, and also for disaster recovery.",no,"we are looking at either enhancing our looker instance, or moving away to tableau or something else. we are also looking at building a data lake.",no,no,looking to build a company intranet in salesforce.,no,"i would like myself and my staff to continue training, especially in networking.",Summer 22,4,0,1,4,6,0
"Wayne Transports, Inc.",IT Director,waynetransports.com,"MN
",1.3M,"Transportation
","Tanker truck hauling Hazmat, Dry Bulk, Kosher Food bulk, Asphalt, Propane, Fuels","500-1000 employees
","$250M-$500M
",10,4,2,NO,Win10,NO,"Azure
","i need to ensure i can get visibility into terminal server usage by login, initiate mfa for the entire organization, and manage my vendor risk attack surface.",no,need to automate troublesome website entry,i need to clean house on old and unneeded data as well as get encryption working at all levels.,no,no,no,looking for a website refresh,self explanatory,Summer 22,1,0,1,0,0,0
Wells Fargo,Technology CTO (Cloud),wellsfargo.com,"CA
",$9 Billion Dollors,"Banking / Finance
",Banking / Finance ,"10,000+ employees",$5B+,13,40000,25000,NO,NO,NO,"Hybrid
","cloud computing cybersecurity challenges to drive transformation initiatives within the bank √¢‚Ç¨‚Äú iaas, paas, saas","cloud migration services √¢‚Ç¨‚Äú application modernization, agile methodology","ai/ml, chatbot, digital security to drive the transformation initiatives",no,no,no,no,"leverage managed services, staffing to drive cloud migration ",assessing talent pool and hire/ augment talent to drive cloud migration and support cybersecurity,Summer 22,9,0,0,8,12,0
Wisper ISP,CTO,wisperisp.com,"IL
",200k,"Other
","Cybersecurity
Software Development Support and Applications
IT outsourcing - Server and Database Adminstration","100-250 employees
","Less than $50M
",8,6,1,25,Windows,Oracle NetSuites,"Azure
",we are starting from scratch and trying to develop a gameplan for how should attack cybersecurity,we currently started using microsoft azure and looking to take the next step on moving things to the cloud.,no,no,"our ceo prefers we do everything in-house and is limiting the budget, but looking for cost-effective ways to help my developers",we are a cloud solution today and recently moved to it.,we are in the middle of upgrading our core network.,no,i am looking for any training for our leadership team or my it team that can help us bridge the knowledge gap.,Summer 22,3,0,0,5,4,0
